Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,32,32,5381019,8593,86,484924800,Flat Combining (SkipList)|Spin Parker,Spin Parker
1,1,32,32,5665785,3013,91,484782270,Flat Combining (SkipList)|Spin Parker,Spin Parker
2,2,32,32,5367388,8567,86,242384820,Flat Combining (SkipList)|Spin Parker,Spin Parker
3,3,32,32,5659613,3011,90,484930950,Flat Combining (SkipList)|Spin Parker,Spin Parker
4,4,32,32,5351640,8545,86,,Flat Combining (SkipList)|Spin Parker,Spin Parker
5,5,32,32,5656641,3007,90,,Flat Combining (SkipList)|Spin Parker,Spin Parker
6,6,32,32,5350469,8536,86,,Flat Combining (SkipList)|Spin Parker,Spin Parker
7,7,32,32,5656391,3008,90,,Flat Combining (SkipList)|Spin Parker,Spin Parker
8,8,32,32,5359886,8556,86,,Flat Combining (SkipList)|Spin Parker,Spin Parker
9,9,32,32,5660884,3010,90,,Flat Combining (SkipList)|Spin Parker,Spin Parker
10,10,32,32,5382900,8597,86,484713600,Flat Combining (SkipList)|Spin Parker,Spin Parker
11,11,32,32,5659742,3011,90,1212160020,Flat Combining (SkipList)|Spin Parker,Spin Parker
12,12,32,32,5371124,8578,86,484655400,Flat Combining (SkipList)|Spin Parker,Spin Parker
13,13,32,32,5662912,3011,90,242466450,Flat Combining (SkipList)|Spin Parker,Spin Parker
14,14,32,32,5367719,8568,86,17829780,Flat Combining (SkipList)|Spin Parker,Spin Parker
15,15,32,32,5657748,3010,90,727276230,Flat Combining (SkipList)|Spin Parker,Spin Parker
16,16,32,32,5362821,8563,86,242430090,Flat Combining (SkipList)|Spin Parker,Spin Parker
17,17,32,32,5658329,3009,90,484876230,Flat Combining (SkipList)|Spin Parker,Spin Parker
18,18,32,32,5363833,8565,86,484748010,Flat Combining (SkipList)|Spin Parker,Spin Parker
19,19,32,32,5663674,3011,90,,Flat Combining (SkipList)|Spin Parker,Spin Parker
20,20,32,32,5347582,8537,86,,Flat Combining (SkipList)|Spin Parker,Spin Parker
21,21,32,32,5655219,3007,90,242431650,Flat Combining (SkipList)|Spin Parker,Spin Parker
22,22,32,32,5356099,8546,86,,Flat Combining (SkipList)|Spin Parker,Spin Parker
