Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,2,32,245006190,295251,2965,17263526670,Flat Combining (SkipList),Spin Parker
1,1,2,32,728627221,292482,8786,18359567850,Flat Combining (SkipList),Spin Parker
0,0,2,32,249096605,299934,3012,10295373330,Flat Combining (SkipList),BlockParker
1,1,2,32,728796532,292491,8786,25776505380,Flat Combining (SkipList),BlockParker
0,0,2,32,247653043,298196,2994,13213125630,Flat Combining,Spin Parker
1,1,2,32,742602655,297980,8951,22815548250,Flat Combining,Spin Parker
0,0,2,32,196762552,237348,2384,14652746250,Flat Combining,BlockParker
1,1,2,32,591248061,237347,7130,14376227400,Flat Combining,BlockParker
0,0,2,32,249953402,301099,3024,15777137820,Flat Combining Fair,Spin Parker
1,1,2,32,746085054,299512,8997,20550159360,Flat Combining Fair,Spin Parker
0,0,2,32,208571807,251301,2524,13066156860,Flat Combining Fair,BlockParker
1,1,2,32,559867216,224710,6751,15217647780,Flat Combining Fair,BlockParker
0,0,2,32,251558438,304576,3059,17892367440,Flat Combining Fair With Combiner Slice,Spin Parker
1,1,2,32,741171991,299558,8999,18472168920,Flat Combining Fair With Combiner Slice,Spin Parker
0,0,2,32,203179091,244902,2459,14112914850,Flat Combining Fair With Combiner Slice,BlockParker
1,1,2,32,578363375,232209,6976,14780495880,Flat Combining Fair With Combiner Slice,BlockParker
0,0,2,32,242968667,292503,2937,11755824360,CCSynch,Spin Parker
1,1,2,32,729089203,292502,8787,11757729780,CCSynch,Spin Parker
0,0,2,32,243251317,292503,2937,11751194670,CCSynch,BlockParker
1,1,2,32,729131912,292502,8787,11752149540,CCSynch,BlockParker
0,0,2,32,242942837,292503,2938,11792086380,CCSynch (Ban),Spin Parker
1,1,2,32,729458324,292502,8787,11785469370,CCSynch (Ban),Spin Parker
0,0,2,32,242784254,292504,2938,11895363750,CCSynch (Ban),BlockParker
1,1,2,32,729079318,292501,8787,11895182070,CCSynch (Ban),BlockParker
0,0,2,32,268619783,323326,3247,,Mutex,
1,1,2,32,783503283,323207,9709,,Mutex,
0,0,2,32,270561007,325803,3272,,SpinLock,
1,1,2,32,775043119,325018,9764,,SpinLock,
0,0,2,32,178048043,214953,2159,,U-SCL,
1,1,2,32,418910969,168217,5053,,U-SCL,
0,0,2,31,268610099,322842,3243,,RCL,Spin Parker
1,1,2,31,797502190,322122,9676,,RCL,Spin Parker
0,0,2,31,266109120,320101,3215,,RCL,BlockParker
1,1,2,31,788609344,318741,9575,,RCL,BlockParker
0,0,4,32,272930672,330828,3323,6088754640,Flat Combining (SkipList),Spin Parker
1,1,4,32,566763877,227893,6846,26647511430,Flat Combining (SkipList),Spin Parker
2,2,4,32,273266927,331045,3325,3382406640,Flat Combining (SkipList),Spin Parker
3,3,4,32,565548427,227424,6832,26439005640,Flat Combining (SkipList),Spin Parker
0,0,4,32,287228807,347923,3494,5905436550,Flat Combining (SkipList),BlockParker
1,1,4,32,554922988,223513,6715,24824412720,Flat Combining (SkipList),BlockParker
2,2,4,32,288654607,349596,3511,6446689080,Flat Combining (SkipList),BlockParker
3,3,4,32,555673379,223817,6724,27177464160,Flat Combining (SkipList),BlockParker
0,0,4,32,271332730,327261,3287,2528061660,Flat Combining,Spin Parker
1,1,4,32,699268800,280880,8438,27950347740,Flat Combining,Spin Parker
2,2,4,32,271392596,327068,3285,10530071340,Flat Combining,Spin Parker
3,3,4,32,673258334,270282,8120,29694769050,Flat Combining,Spin Parker
0,0,4,32,243876128,293718,2950,580450530,Flat Combining,BlockParker
1,1,4,32,457222462,183581,5515,13476540330,Flat Combining,BlockParker
2,2,4,32,195165551,236235,2372,15984632460,Flat Combining,BlockParker
3,3,4,32,456285757,183184,5503,21756767520,Flat Combining,BlockParker
0,0,4,32,305362631,372329,3740,2163327810,Flat Combining Fair,Spin Parker
1,1,4,32,551791317,222999,6699,27218868630,Flat Combining Fair,Spin Parker
2,2,4,32,301323800,364596,3662,8437164390,Flat Combining Fair,Spin Parker
3,3,4,32,553391514,222999,6699,27192839820,Flat Combining Fair,Spin Parker
0,0,4,32,255269939,307526,3088,2125549410,Flat Combining Fair,BlockParker
1,1,4,32,409860853,164602,4945,23090760690,Flat Combining Fair,BlockParker
2,2,4,32,255938928,308072,3094,2109497850,Flat Combining Fair,BlockParker
3,3,4,32,410147281,164602,4945,23893554660,Flat Combining Fair,BlockParker
0,0,4,32,264718652,366798,3688,9505057980,Flat Combining Fair With Combiner Slice,Spin Parker
1,1,4,32,526411301,222174,6676,19404971130,Flat Combining Fair With Combiner Slice,Spin Parker
2,2,4,32,277896734,357323,3592,10142144040,Flat Combining Fair With Combiner Slice,Spin Parker
3,3,4,32,527252743,222172,6677,23874339990,Flat Combining Fair With Combiner Slice,Spin Parker
0,0,4,32,262006350,315617,3170,630226560,Flat Combining Fair With Combiner Slice,BlockParker
1,1,4,32,401577475,162301,4876,24723225300,Flat Combining Fair With Combiner Slice,BlockParker
2,2,4,32,261540546,315424,3168,704342160,Flat Combining Fair With Combiner Slice,BlockParker
3,3,4,32,401944091,162301,4876,25103428110,Flat Combining Fair With Combiner Slice,BlockParker
0,0,4,32,260604663,314590,3159,12416869680,CCSynch,Spin Parker
1,1,4,32,587192878,237173,7125,12453001230,CCSynch,Spin Parker
2,2,4,32,259277203,313492,3148,12452296080,CCSynch,Spin Parker
3,3,4,32,587029130,236987,7119,12448332720,CCSynch,Spin Parker
0,0,4,32,240080552,289317,2906,12499883610,CCSynch,BlockParker
1,1,4,32,598209881,241254,7247,12491886180,CCSynch,BlockParker
2,2,4,32,239768678,288963,2903,12481933830,CCSynch,BlockParker
3,3,4,32,598265975,241251,7247,12484933770,CCSynch,BlockParker
0,0,4,32,243600769,296590,2980,12367749960,CCSynch (Ban),Spin Parker
1,1,4,32,577103725,232519,6985,12229780440,CCSynch (Ban),Spin Parker
2,2,4,32,247537004,300336,3016,12068035560,CCSynch (Ban),Spin Parker
3,3,4,32,576326466,232518,6985,12286611090,CCSynch (Ban),Spin Parker
0,0,4,32,250168441,303915,3053,12505140510,CCSynch (Ban),BlockParker
1,1,4,32,589671731,237459,7133,12874344150,CCSynch (Ban),BlockParker
2,2,4,32,249602982,303716,3051,12540709230,CCSynch (Ban),BlockParker
3,3,4,32,589074688,237310,7129,12600960870,CCSynch (Ban),BlockParker
0,0,4,32,265493833,321797,3232,,Mutex,
1,1,4,32,777948044,321690,9664,,Mutex,
2,2,4,32,264837618,321470,3229,,Mutex,
3,3,4,32,776521862,321253,9651,,Mutex,
0,0,4,32,215742732,324130,3273,,SpinLock,
1,1,4,32,667538183,323666,9734,,SpinLock,
2,2,4,32,211018706,324180,3270,,SpinLock,
3,3,4,32,699136314,323322,9721,,SpinLock,
0,0,4,32,88741764,107339,1078,,U-SCL,
1,1,4,32,207722397,84001,2523,,U-SCL,
2,2,4,32,88637470,107311,1078,,U-SCL,
3,3,4,32,207407322,83989,2523,,U-SCL,
0,0,4,31,263756371,319354,3210,,RCL,Spin Parker
1,1,4,31,788571939,319055,9585,,RCL,Spin Parker
2,2,4,31,263424967,319299,3211,,RCL,Spin Parker
3,3,4,31,789887811,319464,9598,,RCL,Spin Parker
0,0,4,31,263183608,316897,3183,,RCL,BlockParker
1,1,4,31,778574924,316701,9514,,RCL,BlockParker
2,2,4,31,263043582,316722,3181,,RCL,BlockParker
3,3,4,31,783414713,315738,9489,,RCL,BlockParker
0,0,8,32,224152773,272053,2732,8225783940,Flat Combining (SkipList),Spin Parker
1,1,8,32,371445156,149414,4488,14764679940,Flat Combining (SkipList),Spin Parker
2,2,8,32,229764859,278723,2799,6048769680,Flat Combining (SkipList),Spin Parker
3,3,8,32,371227900,149352,4487,11133679080,Flat Combining (SkipList),Spin Parker
4,4,8,32,226135900,274240,2754,7542118080,Flat Combining (SkipList),Spin Parker
5,5,8,32,370213975,148926,4474,16703364990,Flat Combining (SkipList),Spin Parker
6,6,8,32,213264808,258941,2601,12340278060,Flat Combining (SkipList),Spin Parker
7,7,8,32,371067744,149346,4486,13070665020,Flat Combining (SkipList),Spin Parker
0,0,8,32,243561687,296092,2974,12088221090,Flat Combining (SkipList),BlockParker
1,1,8,32,323106143,129965,3904,8229283560,Flat Combining (SkipList),BlockParker
2,2,8,32,237236679,287687,2889,14990292180,Flat Combining (SkipList),BlockParker
3,3,8,32,323056524,129933,3903,11689661580,Flat Combining (SkipList),BlockParker
4,4,8,32,241089983,292539,2938,13543067190,Flat Combining (SkipList),BlockParker
5,5,8,32,323019936,129933,3903,9200622870,Flat Combining (SkipList),BlockParker
6,6,8,32,244474056,296673,2980,12089999520,Flat Combining (SkipList),BlockParker
7,7,8,32,322865389,129860,3901,7989565020,Flat Combining (SkipList),BlockParker
0,0,8,32,165491737,199299,2002,382079370,Flat Combining,Spin Parker
1,1,8,32,498739527,200216,6015,144027360,Flat Combining,Spin Parker
2,2,8,32,166234275,200237,2011,22353184800,Flat Combining,Spin Parker
3,3,8,32,498699182,200237,6015,92070,Flat Combining,Spin Parker
4,4,8,32,131716233,158696,1594,18542507010,Flat Combining,Spin Parker
5,5,8,32,411925454,165369,4968,15774171540,Flat Combining,Spin Parker
6,6,8,32,134194766,161537,1622,17673669420,Flat Combining,Spin Parker
7,7,8,32,420790269,168871,5073,14562792900,Flat Combining,Spin Parker
0,0,8,32,154996405,186741,1876,14229240,Flat Combining,BlockParker
1,1,8,32,465147861,186766,5611,2961210,Flat Combining,BlockParker
2,2,8,32,131293897,158066,1588,26767309440,Flat Combining,BlockParker
3,3,8,32,384449382,154318,4636,13516320660,Flat Combining,BlockParker
4,4,8,32,154998149,186630,1874,321917970,Flat Combining,BlockParker
5,5,8,32,387213227,155485,4671,13014636330,Flat Combining,BlockParker
6,6,8,32,130257657,156827,1575,14208960840,Flat Combining,BlockParker
7,7,8,32,386475014,155067,4658,16044076410,Flat Combining,BlockParker
0,0,8,32,278037475,334787,3362,1182526500,Flat Combining Fair,Spin Parker
1,1,8,32,284346177,114190,3430,19993693530,Flat Combining Fair,Spin Parker
2,2,8,32,281752936,339196,3406,2074803300,Flat Combining Fair,Spin Parker
3,3,8,32,284415732,114189,3430,18098061090,Flat Combining Fair,Spin Parker
4,4,8,32,279383025,336492,3379,3755863110,Flat Combining Fair,Spin Parker
5,5,8,32,284418505,114189,3430,17443948620,Flat Combining Fair,Spin Parker
6,6,8,32,263334829,317104,3185,8089077750,Flat Combining Fair,Spin Parker
7,7,8,32,284498597,114189,3430,15758184510,Flat Combining Fair,Spin Parker
0,0,8,32,222540666,268069,2692,2711214090,Flat Combining Fair,BlockParker
1,1,8,32,267450124,107374,3226,14138091330,Flat Combining Fair,BlockParker
2,2,8,32,188336751,226902,2279,9876881160,Flat Combining Fair,BlockParker
3,3,8,32,267534687,107406,3227,11220177360,Flat Combining Fair,BlockParker
4,4,8,32,206007135,248184,2493,7901446350,Flat Combining Fair,BlockParker
5,5,8,32,267460303,107409,3227,12234333990,Flat Combining Fair,BlockParker
6,6,8,32,216348805,260693,2618,7438481790,Flat Combining Fair,BlockParker
7,7,8,32,267543492,107418,3227,9672152550,Flat Combining Fair,BlockParker
0,0,8,32,169610672,336479,3398,3982431360,Flat Combining Fair With Combiner Slice,Spin Parker
1,1,8,32,202765777,113743,3422,12467146320,Flat Combining Fair With Combiner Slice,Spin Parker
2,2,8,32,196717583,302128,3044,11411329770,Flat Combining Fair With Combiner Slice,Spin Parker
3,3,8,32,204430998,113742,3422,13233099480,Flat Combining Fair With Combiner Slice,Spin Parker
4,4,8,32,197289794,324018,3267,5744742870,Flat Combining Fair With Combiner Slice,Spin Parker
5,5,8,32,220163365,113741,3421,13770225090,Flat Combining Fair With Combiner Slice,Spin Parker
6,6,8,32,199087309,315265,3178,9096402900,Flat Combining Fair With Combiner Slice,Spin Parker
7,7,8,32,225719766,113741,3421,13559148630,Flat Combining Fair With Combiner Slice,Spin Parker
0,0,8,32,194512841,238575,2396,3326185560,Flat Combining Fair With Combiner Slice,BlockParker
1,1,8,32,267308698,108798,3269,14905987950,Flat Combining Fair With Combiner Slice,BlockParker
2,2,8,32,230947191,281421,2827,3926932950,Flat Combining Fair With Combiner Slice,BlockParker
3,3,8,32,265953166,108810,3269,15783881220,Flat Combining Fair With Combiner Slice,BlockParker
4,4,8,32,190939124,232612,2337,7100725350,Flat Combining Fair With Combiner Slice,BlockParker
5,5,8,32,266305073,108812,3269,15026487480,Flat Combining Fair With Combiner Slice,BlockParker
6,6,8,32,184488129,225337,2264,7233115290,Flat Combining Fair With Combiner Slice,BlockParker
7,7,8,32,266902223,108824,3270,7288148220,Flat Combining Fair With Combiner Slice,BlockParker
0,0,8,32,140477107,171361,1721,9863568510,CCSynch,Spin Parker
1,1,8,32,457558350,186171,5593,9505927140,CCSynch,Spin Parker
2,2,8,32,154650802,188201,1890,10233943470,CCSynch,Spin Parker
3,3,8,32,467705387,190043,5709,10845719340,CCSynch,Spin Parker
4,4,8,32,151079535,184009,1848,9812197590,CCSynch,Spin Parker
5,5,8,32,465629229,189153,5682,8751140730,CCSynch,Spin Parker
6,6,8,32,135062760,165028,1657,10623014040,CCSynch,Spin Parker
7,7,8,32,448695833,182427,5480,9586036440,CCSynch,Spin Parker
0,0,8,32,139626593,170385,1711,10773027600,CCSynch,BlockParker
1,1,8,32,448193337,181790,5461,10235760420,CCSynch,BlockParker
2,2,8,32,146281043,178343,1791,11485199310,CCSynch,BlockParker
3,3,8,32,440611747,178690,5368,9423244770,CCSynch,BlockParker
4,4,8,32,143446645,174980,1757,9105425970,CCSynch,BlockParker
5,5,8,32,431149890,174851,5253,7891873440,CCSynch,BlockParker
6,6,8,32,147366645,179729,1805,10929345030,CCSynch,BlockParker
7,7,8,32,415873866,168732,5069,9211088940,CCSynch,BlockParker
0,0,8,32,232690882,285600,2870,8940178170,CCSynch (Ban),Spin Parker
1,1,8,32,306589619,123986,3725,8915450490,CCSynch (Ban),Spin Parker
2,2,8,32,225276166,276512,2780,8969261100,CCSynch (Ban),Spin Parker
3,3,8,32,306627780,123987,3725,8906177970,CCSynch (Ban),Spin Parker
4,4,8,32,232691121,285613,2870,8930581590,CCSynch (Ban),Spin Parker
5,5,8,32,306634534,123987,3725,8974122720,CCSynch (Ban),Spin Parker
6,6,8,32,233580386,286873,2883,8967027900,CCSynch (Ban),Spin Parker
7,7,8,32,306596578,123986,3725,8993477460,CCSynch (Ban),Spin Parker
0,0,8,32,237428556,290825,2921,8956437780,CCSynch (Ban),BlockParker
1,1,8,32,278294198,112918,3392,8970590130,CCSynch (Ban),BlockParker
2,2,8,32,236513579,289769,2910,8834206140,CCSynch (Ban),BlockParker
3,3,8,32,278311570,112922,3392,8945157210,CCSynch (Ban),BlockParker
4,4,8,32,237680924,291226,2925,8902228290,CCSynch (Ban),BlockParker
5,5,8,32,278271429,112919,3392,8746345890,CCSynch (Ban),BlockParker
6,6,8,32,235646906,288683,2899,8956125900,CCSynch (Ban),BlockParker
7,7,8,32,278234418,112920,3392,9086544780,CCSynch (Ban),BlockParker
0,0,8,32,128246666,158604,1593,,Mutex,
1,1,8,32,393186658,162258,4874,,Mutex,
2,2,8,32,128687242,159406,1601,,Mutex,
3,3,8,32,397246987,164050,4928,,Mutex,
4,4,8,32,128092040,158498,1592,,Mutex,
5,5,8,32,385775796,159091,4779,,Mutex,
6,6,8,32,129099737,160229,1609,,Mutex,
7,7,8,32,392459208,161861,4862,,Mutex,
0,0,8,32,52405705,205915,2089,,SpinLock,
1,1,8,32,121510860,169340,5111,,SpinLock,
2,2,8,32,44147304,174335,1770,,SpinLock,
3,3,8,32,129318159,182710,5515,,SpinLock,
4,4,8,32,49539157,200174,2032,,SpinLock,
5,5,8,32,129211802,184532,5571,,SpinLock,
6,6,8,32,49178951,197338,2004,,SpinLock,
7,7,8,32,129574019,185477,5599,,SpinLock,
0,0,8,32,44369745,53663,539,,U-SCL,
1,1,8,32,103809728,41996,1262,,U-SCL,
2,2,8,32,44313599,53681,539,,U-SCL,
3,3,8,32,103651305,42007,1262,,U-SCL,
4,4,8,32,44302888,53676,539,,U-SCL,
5,5,8,32,103100477,41995,1262,,U-SCL,
6,6,8,32,43465361,53652,539,,U-SCL,
7,7,8,32,103947319,41995,1262,,U-SCL,
0,0,8,31,151189228,184691,1855,,RCL,Spin Parker
1,1,8,31,454510875,184690,5548,,RCL,Spin Parker
2,2,8,31,151173821,184691,1855,,RCL,Spin Parker
3,3,8,31,448705958,184690,5548,,RCL,Spin Parker
4,4,8,31,149138695,184690,1855,,RCL,Spin Parker
5,5,8,31,449728541,184690,5548,,RCL,Spin Parker
6,6,8,31,145827858,184690,1855,,RCL,Spin Parker
7,7,8,31,451910905,184689,5548,,RCL,Spin Parker
0,0,8,31,145728397,175370,1761,,RCL,BlockParker
1,1,8,31,434207969,175370,5268,,RCL,BlockParker
2,2,8,31,145634549,175369,1761,,RCL,BlockParker
3,3,8,31,434216972,175370,5268,,RCL,BlockParker
4,4,8,31,145730128,175369,1761,,RCL,BlockParker
5,5,8,31,433689053,175367,5268,,RCL,BlockParker
6,6,8,31,142320206,175369,1761,,RCL,BlockParker
7,7,8,31,430960721,175367,5268,,RCL,BlockParker
0,0,16,32,141812564,172584,1733,5574029220,Flat Combining (SkipList),Spin Parker
1,1,16,32,149883901,60319,1812,4847246670,Flat Combining (SkipList),Spin Parker
2,2,16,32,142174001,172765,1735,6059357520,Flat Combining (SkipList),Spin Parker
3,3,16,32,149907042,60329,1812,7031643750,Flat Combining (SkipList),Spin Parker
4,4,16,32,142259543,172915,1737,5575773180,Flat Combining (SkipList),Spin Parker
5,5,16,32,149880882,60318,1812,6062952270,Flat Combining (SkipList),Spin Parker
6,6,16,32,142243624,172878,1736,5574193380,Flat Combining (SkipList),Spin Parker
7,7,16,32,149968696,60342,1813,7031341140,Flat Combining (SkipList),Spin Parker
8,8,16,32,142058760,172735,1735,4119263550,Flat Combining (SkipList),Spin Parker
9,9,16,32,149840930,60312,1812,5575708800,Flat Combining (SkipList),Spin Parker
10,10,16,32,142149220,172823,1736,5088477570,Flat Combining (SkipList),Spin Parker
11,11,16,32,149581087,60217,1809,5232071280,Flat Combining (SkipList),Spin Parker
12,12,16,32,142061595,172722,1735,4120270770,Flat Combining (SkipList),Spin Parker
13,13,16,32,149779282,60302,1812,5576295720,Flat Combining (SkipList),Spin Parker
14,14,16,32,142153157,172824,1736,6059337300,Flat Combining (SkipList),Spin Parker
15,15,16,32,149884296,60321,1812,6303481980,Flat Combining (SkipList),Spin Parker
0,0,16,32,131225965,159604,1603,4842469830,Flat Combining (SkipList),BlockParker
1,1,16,32,145468213,58583,1760,7022964750,Flat Combining (SkipList),BlockParker
2,2,16,32,130761773,158993,1597,6295497120,Flat Combining (SkipList),BlockParker
3,3,16,32,145641157,58649,1762,2663887590,Flat Combining (SkipList),BlockParker
4,4,16,32,130641289,158804,1595,7012840080,Flat Combining (SkipList),BlockParker
5,5,16,32,145621692,58638,1762,5327849340,Flat Combining (SkipList),BlockParker
6,6,16,32,131100981,159407,1601,6537619050,Flat Combining (SkipList),BlockParker
7,7,16,32,145518670,58603,1760,5812265520,Flat Combining (SkipList),BlockParker
8,8,16,32,130961289,159344,1600,5810599650,Flat Combining (SkipList),BlockParker
9,9,16,32,145446491,58571,1760,6537981060,Flat Combining (SkipList),BlockParker
10,10,16,32,130622546,158957,1596,8474497950,Flat Combining (SkipList),BlockParker
11,11,16,32,145498954,58586,1760,4358569620,Flat Combining (SkipList),BlockParker
12,12,16,32,130361032,158623,1593,5811000090,Flat Combining (SkipList),BlockParker
13,13,16,32,145564381,58602,1760,3390291900,Flat Combining (SkipList),BlockParker
14,14,16,32,130661275,159052,1597,4600263060,Flat Combining (SkipList),BlockParker
15,15,16,32,145488970,58575,1760,5328011430,Flat Combining (SkipList),BlockParker
0,0,16,32,76455671,92019,924,474356820,Flat Combining,Spin Parker
1,1,16,32,230592144,92559,2781,91320,Flat Combining,Spin Parker
2,2,16,32,76881944,92558,930,11053531230,Flat Combining,Spin Parker
3,3,16,32,230506665,92521,2779,52267050,Flat Combining,Spin Parker
4,4,16,32,76900024,92556,930,7101708840,Flat Combining,Spin Parker
5,5,16,32,230602399,92558,2780,3662122560,Flat Combining,Spin Parker
6,6,16,32,76876005,92558,930,3634947450,Flat Combining,Spin Parker
7,7,16,32,230612399,92558,2780,4865337930,Flat Combining,Spin Parker
8,8,16,32,76896071,92556,930,11966220090,Flat Combining,Spin Parker
9,9,16,32,230608434,92557,2780,10778197440,Flat Combining,Spin Parker
10,10,16,32,76879198,92557,930,13396289520,Flat Combining,Spin Parker
11,11,16,32,230535604,92557,2780,5861845470,Flat Combining,Spin Parker
12,12,16,32,74792153,90037,904,2465050650,Flat Combining,Spin Parker
13,13,16,32,216329995,86842,2609,5640538440,Flat Combining,Spin Parker
14,14,16,32,72977964,87932,883,4510948170,Flat Combining,Spin Parker
15,15,16,32,219873647,88245,2651,4199051250,Flat Combining,Spin Parker
0,0,16,32,76964075,92722,931,10093020,Flat Combining,BlockParker
1,1,16,32,230853812,92714,2785,10300680,Flat Combining,BlockParker
2,2,16,32,76862941,92618,930,143915610,Flat Combining,BlockParker
3,3,16,32,173576020,69691,2094,21392020110,Flat Combining,BlockParker
4,4,16,32,76889267,92602,930,344430630,Flat Combining,BlockParker
5,5,16,32,179535124,72091,2166,19201454850,Flat Combining,BlockParker
6,6,16,32,76834423,92678,931,290134590,Flat Combining,BlockParker
7,7,16,32,230888239,92731,2786,196991160,Flat Combining,BlockParker
8,8,16,32,76970647,92732,931,21841571700,Flat Combining,BlockParker
9,9,16,32,230923535,92732,2786,337407810,Flat Combining,BlockParker
10,10,16,32,76980384,92733,931,67995090,Flat Combining,BlockParker
11,11,16,32,231057473,92733,2786,176190480,Flat Combining,BlockParker
12,12,16,32,76668190,92395,928,340905480,Flat Combining,BlockParker
13,13,16,32,227842033,91499,2749,1319963880,Flat Combining,BlockParker
14,14,16,32,76628472,92333,928,398907210,Flat Combining,BlockParker
15,15,16,32,176049321,70715,2124,22548534540,Flat Combining,BlockParker
0,0,16,32,140731304,169447,1702,5076765330,Flat Combining Fair,Spin Parker
1,1,16,32,142628883,57247,1720,10265220600,Flat Combining Fair,Spin Parker
2,2,16,32,141978791,170908,1716,4480606080,Flat Combining Fair,Spin Parker
3,3,16,32,142540900,57246,1720,7508914770,Flat Combining Fair,Spin Parker
4,4,16,32,142140724,171158,1719,3598032090,Flat Combining Fair,Spin Parker
5,5,16,32,142588405,57245,1720,5168310030,Flat Combining Fair,Spin Parker
6,6,16,32,140301365,168909,1696,3263198100,Flat Combining Fair,Spin Parker
7,7,16,32,142607533,57245,1720,5131026990,Flat Combining Fair,Spin Parker
8,8,16,32,140575243,169272,1700,4179516600,Flat Combining Fair,Spin Parker
9,9,16,32,142487211,57246,1720,7428459720,Flat Combining Fair,Spin Parker
10,10,16,32,141399817,170199,1709,5346769950,Flat Combining Fair,Spin Parker
11,11,16,32,142614605,57246,1720,7600668780,Flat Combining Fair,Spin Parker
12,12,16,32,141662224,170624,1714,3881434410,Flat Combining Fair,Spin Parker
13,13,16,32,142595782,57244,1720,5154361860,Flat Combining Fair,Spin Parker
14,14,16,32,141410808,170308,1710,5295313860,Flat Combining Fair,Spin Parker
15,15,16,32,142612540,57242,1720,5213663130,Flat Combining Fair,Spin Parker
0,0,16,32,119883585,144323,1449,3404459280,Flat Combining Fair,BlockParker
1,1,16,32,137821957,55310,1662,5158748400,Flat Combining Fair,BlockParker
2,2,16,32,120001025,144470,1451,3778560390,Flat Combining Fair,BlockParker
3,3,16,32,137848343,55316,1662,5239075230,Flat Combining Fair,BlockParker
4,4,16,32,119926251,144393,1450,3951667770,Flat Combining Fair,BlockParker
5,5,16,32,137875431,55325,1662,5043373110,Flat Combining Fair,BlockParker
6,6,16,32,119950522,144419,1450,3705477900,Flat Combining Fair,BlockParker
7,7,16,32,137881912,55332,1662,5280451290,Flat Combining Fair,BlockParker
8,8,16,32,119545253,143944,1446,4433647290,Flat Combining Fair,BlockParker
9,9,16,32,137912574,55340,1662,5427552750,Flat Combining Fair,BlockParker
10,10,16,32,119629983,144028,1447,5835833760,Flat Combining Fair,BlockParker
11,11,16,32,137934073,55353,1663,5130562290,Flat Combining Fair,BlockParker
12,12,16,32,120135496,144646,1453,7744296750,Flat Combining Fair,BlockParker
13,13,16,32,137921192,55350,1663,5922569190,Flat Combining Fair,BlockParker
14,14,16,32,118346738,142522,1431,7616434920,Flat Combining Fair,BlockParker
15,15,16,32,137936081,55360,1663,5950754160,Flat Combining Fair,BlockParker
0,0,16,32,52740081,167348,1697,4776094650,Flat Combining Fair With Combiner Slice,Spin Parker
1,1,16,32,45875031,56660,1709,5819935200,Flat Combining Fair With Combiner Slice,Spin Parker
2,2,16,32,53793020,166748,1690,4364899830,Flat Combining Fair With Combiner Slice,Spin Parker
3,3,16,32,46899469,56647,1709,6050844300,Flat Combining Fair With Combiner Slice,Spin Parker
4,4,16,32,52935347,166542,1689,4239262560,Flat Combining Fair With Combiner Slice,Spin Parker
5,5,16,32,47691022,56661,1709,5710296780,Flat Combining Fair With Combiner Slice,Spin Parker
6,6,16,32,52132108,166791,1691,4793022060,Flat Combining Fair With Combiner Slice,Spin Parker
7,7,16,32,48370058,56658,1709,5536216140,Flat Combining Fair With Combiner Slice,Spin Parker
8,8,16,32,50395794,165908,1683,4627976460,Flat Combining Fair With Combiner Slice,Spin Parker
9,9,16,32,48517609,56658,1709,6328530660,Flat Combining Fair With Combiner Slice,Spin Parker
10,10,16,32,52216621,166285,1686,5546259450,Flat Combining Fair With Combiner Slice,Spin Parker
11,11,16,32,51109904,56660,1708,6350418150,Flat Combining Fair With Combiner Slice,Spin Parker
12,12,16,32,47800327,164128,1666,5022636030,Flat Combining Fair With Combiner Slice,Spin Parker
13,13,16,32,49264509,56661,1709,5988668010,Flat Combining Fair With Combiner Slice,Spin Parker
14,14,16,32,52424840,165811,1682,5255252910,Flat Combining Fair With Combiner Slice,Spin Parker
15,15,16,32,54159735,56661,1708,5871573330,Flat Combining Fair With Combiner Slice,Spin Parker
0,0,16,32,113595927,143630,1443,3638441550,Flat Combining Fair With Combiner Slice,BlockParker
1,1,16,32,131030962,55224,1659,5242606050,Flat Combining Fair With Combiner Slice,BlockParker
2,2,16,32,113977341,143795,1445,3610306470,Flat Combining Fair With Combiner Slice,BlockParker
3,3,16,32,131084651,55221,1660,5242700880,Flat Combining Fair With Combiner Slice,BlockParker
4,4,16,32,114613414,144735,1454,4127379930,Flat Combining Fair With Combiner Slice,BlockParker
5,5,16,32,131160593,55238,1660,5240277660,Flat Combining Fair With Combiner Slice,BlockParker
6,6,16,32,112540939,141721,1424,6328968870,Flat Combining Fair With Combiner Slice,BlockParker
7,7,16,32,131123392,55255,1660,5250313830,Flat Combining Fair With Combiner Slice,BlockParker
8,8,16,32,112717268,142470,1432,4094892420,Flat Combining Fair With Combiner Slice,BlockParker
9,9,16,32,131172302,55258,1660,5455802850,Flat Combining Fair With Combiner Slice,BlockParker
10,10,16,32,113880333,143809,1445,4651512540,Flat Combining Fair With Combiner Slice,BlockParker
11,11,16,32,131108988,55245,1660,5257966800,Flat Combining Fair With Combiner Slice,BlockParker
12,12,16,32,114150641,144239,1450,6766763730,Flat Combining Fair With Combiner Slice,BlockParker
13,13,16,32,131110913,55259,1660,5271472770,Flat Combining Fair With Combiner Slice,BlockParker
14,14,16,32,111997637,141204,1419,6828519450,Flat Combining Fair With Combiner Slice,BlockParker
15,15,16,32,131240552,55260,1660,5600058870,Flat Combining Fair With Combiner Slice,BlockParker
