Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,2,32,6828017,6828017,0,5021128650,Flat Combining (SkipList),Spin Parker
1,1,2,32,6869690,6869690,0,4931711280,Flat Combining (SkipList),Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,2,32,5237525,5237525,0,5186031450,Flat Combining (SkipList),BlockParker
1,1,2,32,5241950,5241950,0,5370499350,Flat Combining (SkipList),BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,2,32,8568335,8568335,0,3250054860,Flat Combining,Spin Parker
1,1,2,32,8568614,8568614,0,3325425330,Flat Combining,Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,2,32,1246818,1246818,0,1685994900,Flat Combining,BlockParker
1,1,2,32,1246797,1246797,0,1713282900,Flat Combining,BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,2,32,8545117,8545117,0,4016313900,Flat Combining Fair,Spin Parker
1,1,2,32,8544246,8544246,0,4011755610,Flat Combining Fair,Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,2,32,1281851,1281851,0,1868944680,Flat Combining Fair,BlockParker
1,1,2,32,1282091,1282091,0,1855537470,Flat Combining Fair,BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,2,32,8838594,8838594,0,3423572220,Flat Combining Fair With Combiner Slice,Spin Parker
1,1,2,32,8836351,8836351,0,3385726830,Flat Combining Fair With Combiner Slice,Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,2,32,1309749,1309749,0,1803520500,Flat Combining Fair With Combiner Slice,BlockParker
1,1,2,32,1309596,1309596,0,1866529980,Flat Combining Fair With Combiner Slice,BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,2,32,24938228,24938228,0,2978632740,CCSynch,Spin Parker
1,1,2,32,25922988,25922988,0,2848691340,CCSynch,Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,2,32,19354686,19354686,0,3152893950,CCSynch,BlockParker
1,1,2,32,19037668,19037668,0,3049123140,CCSynch,BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,2,32,15172101,15172101,0,3671852130,CCSynch (Ban),Spin Parker
1,1,2,32,15102491,15102491,0,3665629320,CCSynch (Ban),Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,2,32,10243751,10243751,0,3888192090,CCSynch (Ban),BlockParker
1,1,2,32,10129724,10129724,0,3871006200,CCSynch (Ban),BlockParker
