lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
CC Synch,0,0,81605304,1372,1372.014,120
CC Synch,1,1,248998845,1395,4185.027,120
CC Synch,2,2,82448213,1386,1386.019,120
CC Synch,3,3,251211425,1408,4224.016,120
CC Synch,4,4,80229418,1349,1349.017,120
CC Synch,5,5,245749501,1377,4131.015,120
CC Synch,6,6,81096879,1363,1363.018,120
CC Synch,7,7,244861982,1372,4116.016,120
CC Synch,8,8,82047598,1379,1379.023,120
CC Synch,9,9,246145370,1379,4137.011,120
CC Synch,10,10,83415407,1402,1402.016,120
CC Synch,11,11,245425479,1387,4161.014,120
CC Synch,12,12,81621274,1372,1372.021,120
CC Synch,13,13,243959814,1367,4101.015,120
CC Synch,14,14,80013042,1345,1345.011,120
CC Synch,15,15,241636179,1354,4062.240,120
CC Synch,16,16,82261199,1383,1397.281,120
CC Synch,17,17,251473122,1409,4227.013,120
CC Synch,18,18,83165350,1398,1398.015,120
CC Synch,19,19,239017728,1339,4017.011,120
CC Synch,20,20,82989713,1395,1395.020,120
CC Synch,21,21,236934898,1328,3984.013,120
CC Synch,22,22,81673928,1373,1373.017,120
CC Synch,23,23,241700699,1354,4062.011,120
CC Synch,24,24,80833549,1359,1359.022,120
CC Synch,25,25,247915822,1389,4167.012,120
CC Synch,26,26,82636610,1389,1389.024,120
CC Synch,27,27,242667221,1360,4080.011,120
CC Synch,28,28,81370870,1368,1368.020,120
CC Synch,29,29,241156789,1351,4053.012,120
CC Synch,30,30,83391693,1402,1402.015,120
CC Synch,31,31,243832081,1366,4098.014,120
CC Synch,32,32,83546390,1405,1406.901,120
CC Synch,33,33,240260201,1346,4038.022,120
CC Synch,34,34,79767501,1341,1341.014,120
CC Synch,35,35,244513968,1370,4110.014,120
CC Synch,36,36,82504528,1387,1387.014,120
CC Synch,37,37,247746461,1388,4164.043,120
CC Synch,38,38,82824454,1392,1392.019,120
CC Synch,39,39,244728350,1371,4113.011,120
