lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining (fair),0,0,642341798,10447,10447.082,120
Flat Combining (fair),1,1,637260948,3483,10449.027,120
Flat Combining (fair),2,2,641175142,10446,10446.086,120
Flat Combining (fair),3,3,639006893,3483,10449.035,120
Flat Combining (fair),4,4,639459491,10447,10447.106,120
Flat Combining (fair),5,5,641659310,3483,10449.031,120
Flat Combining (fair),6,6,639717774,10447,10447.098,120
Flat Combining (fair),7,7,639129946,3484,10452.039,120
Flat Combining (fair),8,8,649244731,10447,10447.093,120
Flat Combining (fair),9,9,632713428,3484,10452.039,120
