lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining,0,0,41045068,1368,1368.102,120
Flat Combining,1,1,123382030,1373,4119.112,120
Flat Combining,2,2,41105420,1373,1373.107,120
Flat Combining,3,3,123443384,1373,4119.106,120
Flat Combining,4,4,41086623,1373,1373.124,120
Flat Combining,5,5,123365559,1373,4119.103,120
Flat Combining,6,6,41152563,1373,1373.128,120
Flat Combining,7,7,123252252,1373,4119.146,120
Flat Combining,8,8,41103249,1373,1373.109,120
Flat Combining,9,9,123171577,1373,4119.105,120
Flat Combining,10,10,41137582,1373,1373.107,120
Flat Combining,11,11,123366567,1373,4119.118,120
Flat Combining,12,12,41079793,1373,1374.932,120
Flat Combining,13,13,123096749,1372,4116.120,120
Flat Combining,14,14,41085436,1372,1372.101,120
Flat Combining,15,15,123429839,1372,4116.116,120
Flat Combining,16,16,41149451,1372,1372.281,120
Flat Combining,17,17,123340791,1372,4116.108,120
Flat Combining,18,18,41017766,1372,1372.106,120
Flat Combining,19,19,123206618,1372,4116.122,120
Flat Combining,20,20,41088518,1372,1372.108,120
Flat Combining,21,21,123169684,1372,4116.113,120
Flat Combining,22,22,41045735,1372,1372.115,120
Flat Combining,23,23,123051087,1372,4116.111,120
Flat Combining,24,24,41110169,1372,1372.107,120
Flat Combining,25,25,123127879,1372,4116.107,120
Flat Combining,26,26,41014983,1372,1372.104,120
Flat Combining,27,27,123167865,1372,4116.114,120
Flat Combining,28,28,41083680,1372,1372.102,120
Flat Combining,29,29,122976729,1372,4117.453,120
Flat Combining,30,30,40992268,1372,1372.934,120
Flat Combining,31,31,123006299,1372,4116.114,120
Flat Combining,32,32,41081167,1373,1373.108,120
Flat Combining,33,33,123142416,1373,4119.106,120
Flat Combining,34,34,41139651,1373,1373.110,120
Flat Combining,35,35,123080494,1373,4119.114,120
Flat Combining,36,36,41092259,1373,1373.131,120
Flat Combining,37,37,123377292,1373,4119.734,120
Flat Combining,38,38,41083874,1373,1373.099,120
Flat Combining,39,39,123171256,1372,4118.267,120
