lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Remote Core Locking,0,0,340820435,5488,5488.047,120
Remote Core Locking,1,1,1011683884,5487,16461.052,120
Remote Core Locking,2,2,344973270,5487,5487.028,120
Remote Core Locking,3,3,1023500611,5487,16461.042,120
Remote Core Locking,4,4,344879281,5487,5487.050,120
Remote Core Locking,5,5,1020064402,5487,16461.046,120
Remote Core Locking,6,6,339321682,5487,5487.051,120
Remote Core Locking,7,7,1021800824,5487,16461.048,120
Remote Core Locking,8,8,339086216,5487,5487.059,120
Remote Core Locking,9,0,1011359658,5487,16461.046,120
